-801,-403
990,791
-5,194
-801,-5
990,990
-5,393
393,-5
393,-204
-5,-801
990,-801
-403,393
592,393
-5,194
592,791
990,393
-801,194
990,-801
-403,990
-403,-204
393,-602
592,-5
-403,393
393,592
194,-204
592,-5
194,194
592,791
393,-403
-602,592
-204,592
194,-204
-403,-602
194,592
990,-204
-602,-5
-403,-403
-5,393
-5,393
592,194
592,-602
-5,194
194,791
791,-403
-602,-801
791,-403
-204,-801
990,-5
-602,990
592,592
-403,-602
-204,-204
-204,194
990,791
-5,-403
-602,791
791,990
393,-403
791,-204
-204,-5
194,194
791,990
-403,-204
-204,-5
393,-602
990,194
393,-602
-602,592
791,194
-5,-801
592,-801
990,-204
791,-801
-204,990
990,194
-801,393
-5,990
-602,592
-403,194
393,393
791,791
-403,-204
-403,990
393,194
-5,-204
-403,-602
-801,393
-5,194
-5,-403
-602,791
-602,990
990,592
592,393
-204,791
393,-204
-5,-5
-602,-801
194,-5
194,-5
393,393
990,194
